Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,657,1,2022-10-20,MIL,@,PHI,W 90-88,*,36:05,9,16,.563,1,3,.333,8,13,.615,.594,2,5,.400,0,13,13,8,1,3,1,4,21,22.2,13
2,658,2,2022-10-22,MIL,,HOU,W 125-105,*,27:38,17,21,.810,2,3,.667,15,18,.833,.857,8,13,.615,2,10,12,3,0,0,4,2,44,35.8,23
3,659,3,2022-10-26,MIL,,BRK,W 110-99,*,37:52,16,25,.640,1,4,.250,15,21,.714,.660,10,14,.714,2,12,14,5,1,3,7,4,43,33.3,5
4,660,4,2022-10-28,MIL,,NYK,W 119-108,*,38:55,11,22,.500,1,6,.167,10,16,.625,.523,7,11,.636,0,14,14,9,1,1,2,0,30,27.6,27
5,661,5,2022-10-29,MIL,,ATL,W 123-115,*,32:37,11,22,.500,1,1,1.000,10,21,.476,.523,11,19,.579,5,12,17,4,0,1,2,4,34,26.8,-10
6,662,6,2022-10-31,MIL,,DET,W 110-108,*,31:44,12,23,.522,0,4,.000,12,19,.632,.522,7,9,.778,2,5,7,2,0,2,4,5,31,18.6,-1
7,663,7,2022-11-02,MIL,,DET,W 116-91,*,29:31,11,24,.458,0,4,.000,11,20,.550,.458,10,12,.833,5,7,12,4,5,2,1,1,32,32.2,12
8,664,8,2022-11-04,MIL,@,MIN,W 115-102,*,33:35,7,17,.412,2,4,.500,5,13,.385,.471,10,20,.500,0,14,14,11,0,0,4,3,26,19.6,25
8,,9,2022-11-05,MIL,,OKC,W 108-94,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
9,665,10,2022-11-07,MIL,@,ATL,L 98-117,*,26:47,9,20,.450,0,1,.000,9,19,.474,.450,7,8,.875,1,6,7,2,2,1,5,3,25,14.6,-22
9,,11,2022-11-09,MIL,@,OKC,W 136-132 (2OT),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
9,,12,2022-11-11,MIL,@,SAS,L 93-111,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
10,666,13,2022-11-14,MIL,,ATL,L 106-121,*,30:55,8,21,.381,0,3,.000,8,18,.444,.381,11,18,.611,1,7,8,4,1,0,8,6,27,8.9,-13
11,667,14,2022-11-16,MIL,,CLE,W 113-98,*,31:32,6,18,.333,0,2,.000,6,16,.375,.333,4,11,.364,2,10,12,8,0,0,2,1,16,10.6,10
12,668,15,2022-11-18,MIL,@,PHI,L 102-110,*,34:16,10,22,.455,1,5,.200,9,17,.529,.477,4,15,.267,0,14,14,4,1,1,5,4,25,11.3,-12
13,669,16,2022-11-21,MIL,,POR,W 119-111,*,35:05,16,24,.667,0,1,.000,16,23,.696,.667,5,12,.417,2,5,7,6,2,0,1,3,37,30.7,19
14,670,17,2022-11-23,MIL,,CHI,L 113-118,*,34:00,15,27,.556,0,2,.000,15,25,.600,.556,6,9,.667,3,8,11,7,0,0,8,5,36,21.3,5
15,671,18,2022-11-25,MIL,,CLE,W 117-102,*,30:58,13,20,.650,2,3,.667,11,17,.647,.700,10,14,.714,3,6,9,6,0,2,3,3,38,32.9,15
16,672,19,2022-11-27,MIL,,DAL,W 124-115,*,29:24,11,19,.579,0,2,.000,11,17,.647,.579,8,10,.800,3,8,11,4,1,0,3,5,30,23.6,16
17,673,20,2022-11-30,MIL,@,NYK,W 109-103,*,36:37,13,25,.520,2,8,.250,11,17,.647,.560,9,12,.750,4,9,13,7,0,1,3,6,37,29.2,-5
18,674,21,2022-12-02,MIL,,LAL,L 129-133,*,35:06,16,23,.696,0,3,.000,16,20,.800,.696,8,11,.727,3,4,7,5,0,1,3,2,40,32.8,2
18,,22,2022-12-03,MIL,@,CHO,W 105-96,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
19,675,23,2022-12-05,MIL,@,ORL,W 109-102,*,33:12,12,21,.571,2,4,.500,10,17,.588,.619,8,11,.727,1,12,13,5,1,2,4,4,34,27.5,-4
20,676,24,2022-12-07,MIL,,SAC,W 126-113,*,32:43,12,19,.632,2,2,1.000,10,17,.588,.684,9,10,.900,1,5,6,7,1,0,3,4,35,29.6,11
21,677,25,2022-12-09,MIL,@,DAL,W 106-105,*,35:08,10,20,.500,1,1,1.000,9,19,.474,.525,7,10,.700,4,6,10,3,1,0,7,6,28,15.1,-2
22,678,26,2022-12-11,MIL,@,HOU,L 92-97,*,36:46,7,17,.412,0,2,.000,7,15,.467,.412,2,6,.333,1,17,18,4,1,2,3,5,16,11.3,-11
23,679,27,2022-12-13,MIL,,GSW,W 128-111,*,29:52,9,26,.346,1,6,.167,8,20,.400,.365,11,17,.647,3,9,12,5,1,1,4,4,30,17.4,17
