Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,720,1,2023-10-26,MIL,,PHI,W 118-117,*,35:07,10,21,.476,0,3,.000,10,18,.556,.476,3,9,.333,4,8,12,3,2,2,7,4,23,12.0,-13
2,721,2,2023-10-29,MIL,,ATL,L 110-127,*,29:28,9,14,.643,0,1,.000,9,13,.692,.643,8,10,.800,5,6,11,3,1,2,3,2,26,25.0,-11
3,722,3,2023-10-30,MIL,,MIA,W 122-114,*,31:51,12,21,.571,1,3,.333,11,18,.611,.595,8,11,.727,1,6,7,2,0,1,2,3,33,23.3,18
4,723,4,2023-11-01,MIL,@,TOR,L 111-130,*,27:41,5,11,.455,0,0,,5,11,.455,.455,6,9,.667,3,1,4,2,1,0,3,3,16,9.7,-10
5,724,5,2023-11-03,MIL,,NYK,W 110-105,*,35:47,6,10,.600,3,3,1.000,3,7,.429,.750,7,13,.538,1,7,8,6,0,1,7,3,22,14.5,13
6,725,6,2023-11-06,MIL,@,BRK,W 129-125,*,35:15,15,27,.556,1,7,.143,14,20,.700,.574,5,6,.833,2,10,12,3,1,2,3,1,36,28.2,15
7,726,7,2023-11-08,MIL,,DET,W 120-118,*,21:52,6,16,.375,0,2,.000,6,14,.429,.375,3,6,.500,0,9,9,5,0,3,1,1,15,11.9,5
8,727,8,2023-11-09,MIL,@,IND,L 124-126,*,36:29,19,25,.760,0,1,.000,19,24,.792,.760,16,18,.889,2,10,12,3,0,0,8,4,54,40.2,6
9,728,9,2023-11-11,MIL,@,ORL,L 97-112,*,36:39,15,22,.682,0,1,.000,15,21,.714,.682,5,12,.417,2,8,10,7,4,2,6,4,35,29.3,-11
10,729,10,2023-11-13,MIL,,CHI,W 118-109,*,34:42,13,22,.591,1,3,.333,12,19,.632,.614,8,14,.571,3,8,11,2,0,0,3,4,35,23.7,13
10,,11,2023-11-15,MIL,@,TOR,W 128-112,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
11,730,12,2023-11-17,MIL,@,CHO,W 130-99,*,28:10,6,10,.600,0,0,,6,10,.600,.600,4,7,.571,0,8,8,9,1,0,4,5,16,13.9,6
12,731,13,2023-11-18,MIL,,DAL,W 132-125,*,37:51,18,26,.692,1,3,.333,17,23,.739,.712,3,5,.600,2,13,15,7,2,1,3,3,40,36.9,-7
13,732,14,2023-11-20,MIL,@,WAS,W 142-129,*,33:54,20,23,.870,0,0,,20,23,.870,.870,2,6,.333,6,7,13,8,1,1,5,2,42,40.1,10
14,733,15,2023-11-22,MIL,@,BOS,L 116-119,*,36:30,7,20,.350,0,3,.000,7,17,.412,.350,7,10,.700,3,10,13,5,2,0,3,4,21,14.6,6
