Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,529,1,2020-12-23,MIL,@,BOS,L 121-122,*,36:24,13,26,.500,3,8,.375,10,18,.556,.558,6,8,.750,2,11,13,2,0,2,7,5,35,19.7,-1
2,530,2,2020-12-25,MIL,,GSW,W 138-99,*,26:42,4,14,.286,0,3,.000,4,11,.364,.286,7,15,.467,4,9,13,4,0,0,2,2,15,9.1,26
3,531,3,2020-12-27,MIL,@,NYK,L 110-130,*,31:59,9,15,.600,1,5,.200,8,10,.800,.633,8,13,.615,2,11,13,5,3,0,3,3,27,25.1,-13
4,532,4,2020-12-29,MIL,@,MIA,W 144-97,*,24:14,3,9,.333,0,2,.000,3,7,.429,.333,3,5,.600,0,6,6,6,3,0,2,2,9,9.3,23
5,533,5,2020-12-30,MIL,@,MIA,L 108-119,*,38:01,10,18,.556,2,6,.333,8,12,.667,.611,4,4,1.000,2,11,13,10,3,1,4,3,26,27.6,-5
6,534,6,2021-01-01,MIL,,CHI,W 126-96,*,27:46,9,19,.474,1,5,.200,8,14,.571,.500,10,18,.556,1,11,12,8,2,2,2,4,29,25.5,31
7,535,7,2021-01-04,MIL,,DET,W 125-115,*,36:04,17,24,.708,2,6,.333,15,18,.833,.750,7,9,.778,2,7,9,4,0,1,3,4,43,34.6,16
8,536,8,2021-01-06,MIL,,DET,W 130-115,*,28:28,8,15,.533,1,5,.200,7,10,.700,.567,8,14,.571,2,6,8,4,0,1,5,4,25,15.4,24
9,537,9,2021-01-08,MIL,,UTA,L 118-131,*,32:41,14,25,.560,2,5,.400,12,20,.600,.600,5,7,.714,1,7,8,4,0,1,2,2,35,25.8,-5
9,,10,2021-01-09,MIL,,CLE,W 100-90,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
10,538,11,2021-01-11,MIL,@,ORL,W 121-99,*,27:17,8,16,.500,2,4,.500,6,12,.500,.563,4,7,.571,0,6,6,4,1,2,4,5,22,13.8,4
11,539,12,2021-01-13,MIL,@,DET,W 110-101,*,33:28,7,15,.467,2,5,.400,5,10,.500,.533,6,10,.600,2,8,10,10,2,3,5,3,22,21.4,12
12,540,13,2021-01-15,MIL,,DAL,W 112-109,*,30:12,14,21,.667,2,5,.400,12,16,.750,.714,1,10,.100,3,6,9,1,0,1,5,4,31,17.0,1
13,541,14,2021-01-18,MIL,@,BRK,L 123-125,*,39:48,13,26,.500,2,6,.333,11,20,.550,.538,6,8,.750,1,11,12,7,2,0,1,1,34,29.7,-12
14,542,15,2021-01-21,MIL,,LAL,L 106-113,*,35:04,11,17,.647,1,3,.333,10,14,.714,.676,2,4,.500,1,11,12,3,0,1,9,6,25,12.1,-6
15,543,16,2021-01-24,MIL,,ATL,W 129-115,*,36:22,9,13,.692,0,2,.000,9,11,.818,.692,9,15,.600,3,11,14,8,0,1,5,4,27,24.2,12
16,544,17,2021-01-27,MIL,@,TOR,W 115-108,*,37:47,8,14,.571,0,1,.000,8,13,.615,.571,8,14,.571,1,17,18,9,1,1,5,3,24,22.6,10
17,545,18,2021-01-29,MIL,@,NOP,L 126-131,*,38:51,15,27,.556,2,7,.286,13,20,.650,.593,6,7,.857,3,8,11,5,2,2,4,3,38,30.9,1
