Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
56,818,61,2022-02-27,GSW,,DAL,L 101-107,*,38:04,11,25,.440,3,10,.300,8,15,.533,.500,2,4,.500,1,3,4,10,2,0,1,0,27,22.7,-4
57,819,62,2022-03-01,GSW,@,MIN,L 114-129,*,33:13,10,24,.417,5,16,.313,5,8,.625,.521,9,9,1.000,1,4,5,4,0,0,4,1,34,21.5,-10
58,820,63,2022-03-03,GSW,@,DAL,L 113-122,*,40:26,8,15,.533,4,5,.800,4,10,.400,.667,1,1,1.000,0,5,5,9,1,0,3,3,21,18.3,-8
59,821,64,2022-03-05,GSW,@,LAL,L 116-124,*,35:41,13,22,.591,4,9,.444,9,13,.692,.682,0,0,,0,4,4,1,0,0,4,0,30,17.7,-12
59,,65,2022-03-07,GSW,@,DEN,L 124-131,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
60,822,66,2022-03-08,GSW,,LAC,W 112-97,*,35:03,5,12,.417,1,6,.167,4,6,.667,.458,4,4,1.000,0,5,5,5,3,0,4,4,15,11.0,6
61,823,67,2022-03-10,GSW,@,DEN,W 113-102,*,37:58,11,21,.524,5,12,.417,6,9,.667,.643,7,7,1.000,0,9,9,3,2,0,2,1,34,28.1,18
62,824,68,2022-03-12,GSW,,MIL,W 122-109,*,33:09,3,7,.429,2,4,.500,1,3,.333,.571,0,0,,1,4,5,8,1,1,4,1,8,9.1,14
63,825,69,2022-03-14,GSW,,WAS,W 126-112,*,35:26,16,25,.640,7,14,.500,9,11,.818,.780,8,8,1.000,0,6,6,6,1,0,2,1,47,40.5,17
64,826,70,2022-03-16,GSW,,BOS,L 88-110,*,13:40,1,4,.250,1,4,.250,0,0,,.375,0,0,,0,1,1,2,0,0,4,2,3,-2.5,-5
64,,71,2022-03-20,GSW,,SAS,L 108-110,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
64,,72,2022-03-22,GSW,@,ORL,L 90-94,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
64,,73,2022-03-23,GSW,@,MIA,W 118-104,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
64,,74,2022-03-25,GSW,@,ATL,L 110-121,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
64,,75,2022-03-27,GSW,@,WAS,L 115-123,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
64,,76,2022-03-28,GSW,@,MEM,L 95-123,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
64,,77,2022-03-30,GSW,,PHO,L 103-107,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
64,,78,2022-04-02,GSW,,UTA,W 111-107,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
64,,79,2022-04-03,GSW,@,SAC,W 109-90,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
64,,80,2022-04-07,GSW,,LAL,W 128-112,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
64,,81,2022-04-09,GSW,@,SAS,W 100-94,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
64,,82,2022-04-10,GSW,@,NOP,W 128-107,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
,,,,,,,45-19,64,2211,535,1224,.437,285,750,.380,250,474,.527,.554,275,298,.923,34,301,335,404,85,23,206,130,1630,19.0,507
