Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,883,1,2023-10-24,GSW,,PHO,L 104-108,*,30:45,8,20,.400,4,14,.286,4,6,.667,.500,7,7,1.000,1,4,5,1,1,0,2,5,27,15.8,-9
2,884,2,2023-10-27,GSW,@,SAC,W 122-114,*,34:50,14,19,.737,7,10,.700,7,9,.778,.921,6,6,1.000,1,3,4,4,2,0,4,0,41,35.7,10
3,885,3,2023-10-29,GSW,@,HOU,W 106-95,*,31:25,6,16,.375,6,14,.429,0,2,.000,.563,6,6,1.000,1,6,7,6,0,1,1,1,24,21.2,-2
4,886,4,2023-10-30,GSW,@,NOP,W 130-102,*,30:02,15,22,.682,7,13,.538,8,9,.889,.841,5,7,.714,0,5,5,5,2,0,3,1,42,35.4,13
5,887,5,2023-11-01,GSW,,SAC,W 102-101,*,32:20,7,15,.467,4,10,.400,3,5,.600,.600,3,3,1.000,1,4,5,3,0,0,7,3,21,9.1,-6
6,888,6,2023-11-03,GSW,@,OKC,W 141-139,*,31:23,9,15,.600,5,10,.500,4,5,.800,.767,7,7,1.000,3,5,8,7,2,0,3,1,30,30.2,5
7,889,7,2023-11-05,GSW,@,CLE,L 104-115,*,30:49,8,16,.500,7,11,.636,1,5,.200,.719,5,6,.833,0,2,2,4,1,0,6,0,28,18.0,-6
8,890,8,2023-11-06,GSW,@,DET,W 120-109,*,32:37,12,26,.462,7,17,.412,5,9,.556,.596,3,4,.750,0,2,2,4,0,0,3,1,34,20.2,17
9,891,9,2023-11-08,GSW,@,DEN,L 105-108,*,34:28,6,17,.353,6,13,.462,0,4,.000,.529,5,5,1.000,1,4,5,4,1,0,3,2,23,15.4,-10
10,892,10,2023-11-11,GSW,,CLE,L 110-118,*,32:33,9,24,.375,4,14,.286,5,10,.500,.458,8,8,1.000,1,2,3,2,1,1,4,1,30,16.8,-8
11,893,11,2023-11-12,GSW,,MIN,L 110-116,*,36:07,11,25,.440,5,13,.385,6,12,.500,.540,11,12,.917,1,4,5,3,1,0,5,2,38,23.7,-4
11,,12,2023-11-14,GSW,,MIN,L 101-104,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
