Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,700,1,2020-12-22,GSW,@,BRK,L 99-125,*,30:19,7,21,.333,2,10,.200,5,11,.455,.381,4,4,1.000,3,1,4,10,2,0,3,1,20,16.1,-23
2,701,2,2020-12-25,GSW,@,MIL,L 99-138,*,28:58,6,17,.353,2,10,.200,4,7,.571,.412,5,5,1.000,0,4,4,6,1,0,2,2,19,13.1,-24
3,702,3,2020-12-27,GSW,@,CHI,W 129-128,*,36:26,11,25,.440,5,15,.333,6,10,.600,.540,9,9,1.000,0,2,2,6,2,2,4,1,36,26.7,3
4,703,4,2020-12-29,GSW,@,DET,W 116-106,*,34:50,9,17,.529,5,9,.556,4,8,.500,.676,8,8,1.000,0,5,5,6,2,0,8,5,31,20.4,3
5,704,5,2021-01-01,GSW,,POR,L 98-123,*,33:38,9,20,.450,4,12,.333,5,8,.625,.550,4,4,1.000,0,8,8,5,0,0,1,1,26,20.1,-27
6,705,6,2021-01-03,GSW,,POR,W 137-122,*,36:27,18,31,.581,8,16,.500,10,15,.667,.710,18,19,.947,1,4,5,4,0,0,5,0,62,46.8,20
7,706,7,2021-01-04,GSW,,SAC,W 137-106,*,30:34,9,18,.500,5,12,.417,4,6,.667,.639,7,7,1.000,0,9,9,8,0,0,2,3,30,26.1,26
8,707,8,2021-01-06,GSW,,LAC,L 101-108,*,34:59,5,17,.294,1,6,.167,4,11,.364,.324,2,4,.500,1,3,4,5,1,0,0,3,13,7.2,-10
9,708,9,2021-01-08,GSW,,LAC,W 115-105,*,36:15,13,24,.542,9,14,.643,4,10,.400,.729,3,3,1.000,0,2,2,11,3,0,2,3,38,34.5,13
10,709,10,2021-01-10,GSW,,TOR,W 106-105,*,38:12,2,16,.125,1,10,.100,1,6,.167,.156,6,6,1.000,3,6,9,6,0,0,5,3,11,2.5,7
11,710,11,2021-01-12,GSW,,IND,L 95-104,*,35:53,7,17,.412,3,8,.375,4,9,.444,.500,3,5,.600,1,3,4,3,2,0,2,3,20,12.6,-2
12,711,12,2021-01-14,GSW,@,DEN,L 104-114,*,36:58,14,23,.609,5,11,.455,9,12,.750,.717,2,2,1.000,0,11,11,4,2,0,7,2,35,24.8,-21
13,712,13,2021-01-18,GSW,@,LAL,W 115-113,*,35:37,8,22,.364,3,12,.250,5,10,.500,.432,7,7,1.000,0,1,1,7,1,0,4,2,26,15.2,-3
14,713,14,2021-01-20,GSW,,SAS,W 121-99,*,31:28,10,17,.588,4,8,.500,6,9,.667,.706,2,2,1.000,1,10,11,7,1,0,4,2,26,22.9,30
15,714,15,2021-01-21,GSW,,NYK,L 104-119,*,34:39,9,19,.474,5,14,.357,4,5,.800,.605,7,8,.875,0,3,3,4,2,0,4,3,30,20.4,-16
16,715,16,2021-01-23,GSW,@,UTA,L 108-127,*,27:06,9,18,.500,5,10,.500,4,8,.500,.639,1,2,.500,0,7,7,7,0,0,1,2,24,19.8,-24
17,716,17,2021-01-25,GSW,,MIN,W 130-108,*,33:53,11,21,.524,7,12,.583,4,9,.444,.690,7,8,.875,1,3,4,3,3,0,3,2,36,28.2,19
