Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,957,1,2024-10-23,GSW,@,POR,W 140-104,*,25:04,4,10,.400,3,7,.429,1,3,.333,.550,6,6,1.000,0,9,9,10,2,0,2,0,17,21.3,23
2,958,2,2024-10-25,GSW,@,UTA,W 127-86,*,27:25,7,20,.350,4,13,.308,3,7,.429,.450,2,2,1.000,0,3,3,4,2,0,3,3,20,10.3,22
3,959,3,2024-10-27,GSW,,LAC,L 104-112,*,26:42,6,11,.545,4,7,.571,2,4,.500,.727,2,2,1.000,0,4,4,6,2,1,6,1,18,14.4,2
3,,4,2024-10-29,GSW,,NOP,W 124-106,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
3,,5,2024-10-30,GSW,,NOP,W 104-89,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
3,,6,2024-11-02,GSW,@,HOU,W 127-121 (OT),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
4,960,7,2024-11-04,GSW,@,WAS,W 125-112,*,24:05,7,15,.467,4,9,.444,3,6,.500,.600,6,6,1.000,1,2,3,6,0,0,2,1,24,19.4,9
5,961,8,2024-11-06,GSW,@,BOS,W 118-112,*,34:23,8,17,.471,4,9,.444,4,8,.500,.588,7,7,1.000,0,7,7,9,4,1,3,2,27,27.6,7
6,962,9,2024-11-08,GSW,@,CLE,L 117-136,*,23:46,5,10,.500,1,4,.250,4,6,.667,.550,1,1,1.000,0,1,1,2,2,0,6,0,12,4.7,-25
7,963,10,2024-11-10,GSW,@,OKC,W 127-116,*,36:30,13,23,.565,7,13,.538,6,10,.600,.717,3,4,.750,1,4,5,7,1,1,3,2,36,29.4,21
8,964,11,2024-11-12,GSW,,DAL,W 120-117,*,34:52,14,27,.519,5,12,.417,9,15,.600,.611,4,5,.800,0,6,6,9,1,2,4,2,37,29.0,24
9,965,12,2024-11-15,GSW,,MEM,W 123-118,*,26:01,4,9,.444,3,7,.429,1,2,.500,.611,2,2,1.000,1,7,8,5,4,0,3,2,13,14.8,9
10,966,13,2024-11-18,GSW,@,LAC,L 99-102,*,32:23,10,21,.476,6,15,.400,4,6,.667,.619,0,0,,1,6,7,6,0,1,3,1,26,19.3,-5
11,967,14,2024-11-20,GSW,,ATL,W 120-97,*,30:12,7,10,.700,4,6,.667,3,4,.750,.900,5,5,1.000,0,4,4,8,2,1,5,0,23,23.3,27
