Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,987,1,2023-10-24,PHO,@,GSW,W 108-104,*,36:47,7,22,.318,1,2,.500,6,20,.300,.341,3,5,.600,2,9,11,3,0,1,2,1,18,9.1,0
2,988,2,2023-10-26,PHO,@,LAL,L 95-100,*,39:23,14,28,.500,1,5,.200,13,23,.565,.518,10,13,.769,0,11,11,2,1,1,8,2,39,21.4,18
3,989,3,2023-10-28,PHO,,UTA,W 126-104,*,29:25,8,11,.727,1,4,.250,7,7,1.000,.773,9,9,1.000,0,4,4,7,1,1,2,1,26,26.9,30
4,990,4,2023-10-31,PHO,,SAS,L 114-115,*,37:19,12,19,.632,1,3,.333,11,16,.688,.658,1,2,.500,0,2,2,7,2,0,5,0,26,19.6,3
5,991,5,2023-11-02,PHO,,SAS,L 121-132,*,36:38,10,15,.667,3,5,.600,7,10,.700,.767,5,9,.556,0,6,6,1,0,2,3,3,28,19.6,-17
6,992,6,2023-11-04,PHO,@,PHI,L 100-112,*,36:09,9,20,.450,1,4,.250,8,16,.500,.475,12,14,.857,1,7,8,3,1,2,5,1,31,21.7,-13
7,993,7,2023-11-05,PHO,@,DET,W 120-106,*,34:35,14,27,.519,1,3,.333,13,24,.542,.537,12,12,1.000,0,4,4,5,1,2,3,1,41,31.4,7
8,994,8,2023-11-08,PHO,@,CHI,W 116-115 (OT),*,42:20,7,16,.438,2,5,.400,5,11,.455,.500,9,9,1.000,1,6,7,9,2,1,6,2,25,21.3,5
9,995,9,2023-11-10,PHO,,LAL,L 119-122,*,38:36,13,27,.481,4,6,.667,9,21,.429,.556,8,10,.800,1,8,9,5,0,0,4,4,38,24.5,8
10,996,10,2023-11-12,PHO,,OKC,L 99-111,*,36:14,7,18,.389,3,5,.600,4,13,.308,.472,11,11,1.000,0,9,9,4,1,2,3,1,28,22.7,-13
11,997,11,2023-11-15,PHO,,MIN,W 133-115,*,35:22,11,15,.733,2,2,1.000,9,13,.692,.800,7,7,1.000,0,6,6,6,0,1,2,3,31,28.4,27
12,998,12,2023-11-17,PHO,@,UTA,W 131-128,*,33:23,15,22,.682,6,8,.750,9,14,.643,.818,2,2,1.000,0,9,9,9,0,0,1,1,38,36.2,-8
13,999,13,2023-11-19,PHO,@,UTA,W 140-137 (2OT),*,46:19,14,27,.519,4,9,.444,10,18,.556,.593,7,7,1.000,0,8,8,10,2,2,7,2,39,30.7,4
14,1000,14,2023-11-21,PHO,,POR,W 120-107,*,37:14,13,21,.619,2,2,1.000,11,19,.579,.667,3,3,1.000,0,4,4,9,0,1,3,4,31,25.1,20
15,1001,15,2023-11-22,PHO,,GSW,W 123-115,*,34:13,7,14,.500,3,4,.750,4,10,.400,.607,15,15,1.000,0,8,8,2,0,2,6,2,32,23.4,5
15,,16,2023-11-24,PHO,@,MEM,W 110-89,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
15,,17,2023-11-26,PHO,@,NYK,W 116-113,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
16,1002,18,2023-11-29,PHO,@,TOR,L 105-112,*,35:31,11,30,.367,2,8,.250,9,22,.409,.400,6,6,1.000,0,4,4,6,1,0,1,1,30,18.4,-1
17,1003,19,2023-12-01,PHO,,DEN,L 111-119,*,36:11,8,25,.320,1,3,.333,7,22,.318,.340,13,13,1.000,0,4,4,11,1,3,1,2,30,25.9,-6
18,1004,20,2023-12-02,PHO,,MEM,W 116-109,*,32:54,10,14,.714,2,3,.667,8,11,.727,.786,5,7,.714,0,2,2,5,1,1,2,1,27,23.8,8
19,1005,21,2023-12-05,PHO,@,LAL,L 103-106,*,38:37,12,17,.706,4,7,.571,8,10,.800,.824,3,4,.750,0,7,7,4,0,1,5,5,31,22.1,6
19,,22,2023-12-08,PHO,,SAC,L 106-114,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
19,,23,2023-12-12,PHO,,GSW,W 119-116,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
20,1006,24,2023-12-13,PHO,,BRK,L 112-116,*,37:59,9,18,.500,1,5,.200,8,13,.615,.528,8,10,.800,1,5,6,4,1,2,2,3,27,21.4,0
21,1007,25,2023-12-15,PHO,,NYK,L 122-139,*,35:42,10,21,.476,4,9,.444,6,12,.500,.571,5,7,.714,0,3,3,6,0,0,0,1,29,22.2,-7
22,1008,26,2023-12-17,PHO,,WAS,W 112-108,*,34:50,11,24,.458,0,2,.000,11,22,.500,.458,6,9,.667,3,2,5,5,1,1,2,1,28,19.9,-2
23,1009,27,2023-12-19,PHO,@,POR,L 104-109,*,38:28,16,28,.571,1,3,.333,15,25,.600,.589,7,8,.875,0,4,4,5,2,0,5,1,40,27.7,8
24,1010,28,2023-12-22,PHO,@,SAC,L 105-120,*,34:04,9,14,.643,2,3,.667,7,11,.636,.714,8,9,.889,0,7,7,2,1,0,7,0,28,18.9,-14
25,1011,29,2023-12-25,PHO,,DAL,L 114-128,*,42:37,4,11,.364,1,3,.333,3,8,.375,.409,7,7,1.000,1,7,8,7,0,1,6,2,16,11.5,-5
26,1012,30,2023-12-27,PHO,@,HOU,W 129-113,*,41:05,9,16,.563,3,7,.429,6,9,.667,.656,6,8,.750,0,10,10,16,2,1,3,2,27,31.7,17
