Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
162,162,7,2023-05-01,PHO,@,DEN,L 87-97,*,44:23,10,27,.370,2,12,.167,8,15,.533,.407,2,2,1.000,1,7,8,3,1,2,2,4,24,12.8,-4
163,163,8,2023-05-05,PHO,,DEN,W 121-114,*,43:21,12,31,.387,1,5,.200,11,26,.423,.403,14,16,.875,0,9,9,8,0,2,0,4,39,29.4,11
164,164,9,2023-05-07,PHO,,DEN,W 129-124,*,43:57,11,19,.579,2,4,.500,9,15,.600,.632,12,13,.923,0,11,11,6,2,1,5,2,36,31.1,0
165,165,10,2023-05-09,PHO,@,DEN,L 102-118,*,41:50,10,24,.417,0,3,.000,10,21,.476,.417,6,9,.667,2,9,11,7,0,1,5,4,26,15.1,-19
166,166,11,2023-05-11,PHO,,DEN,L 100-125,*,36:50,8,19,.421,0,0,,8,19,.421,.421,7,7,1.000,0,5,5,5,0,1,4,2,23,13.8,-13
167,167,1,2024-04-20,PHO,@,MIN,L 95-120,*,38:42,11,17,.647,2,2,1.000,9,15,.600,.706,7,9,.778,0,7,7,1,1,1,5,1,31,21.8,-20
168,168,2,2024-04-23,PHO,@,MIN,L 93-105,*,41:06,6,15,.400,0,2,.000,6,13,.462,.400,6,7,.857,0,6,6,2,1,1,2,3,18,11.2,-24
169,169,3,2024-04-26,PHO,,MIN,L 109-126,*,42:07,8,18,.444,1,5,.200,7,13,.538,.472,8,9,.889,0,4,4,5,0,0,2,2,25,17.1,-20
170,170,4,2024-04-28,PHO,,MIN,L 116-122,*,46:19,12,17,.706,2,3,.667,10,14,.714,.765,7,9,.778,1,8,9,5,0,4,1,2,33,32.7,-7
171,171,2,2026-04-21,HOU,@,LAL,L 94-101,*,40:59,7,12,.583,1,4,.250,6,8,.750,.625,8,9,.889,2,4,6,4,1,1,9,4,23,13.5,-2
,,,,,,,101-70,171,6937,1691,3540,.478,367,1033,.355,1324,2507,.528,.530,1259,1450,.868,131,1202,1333,713,173,205,559,431,5008,21.4,638
