Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,940,1,2022-10-19,BRK,,NOP,L 108-130,*,31:46,11,21,.524,2,6,.333,9,15,.600,.571,8,9,.889,0,3,3,2,1,4,4,4,32,21.8,-23
2,941,2,2022-10-21,BRK,,TOR,W 109-105,*,35:27,8,18,.444,3,9,.333,5,9,.556,.528,8,10,.800,1,4,5,6,0,2,5,2,27,18.5,-8
3,942,3,2022-10-24,BRK,@,MEM,L 124-134,*,39:01,14,20,.700,1,3,.333,13,17,.765,.725,8,9,.889,1,4,5,4,0,0,1,4,37,30.3,-10
4,943,4,2022-10-26,BRK,@,MIL,L 99-110,*,38:52,10,23,.435,1,4,.250,9,19,.474,.457,12,13,.923,0,6,6,3,0,2,5,3,33,19.6,-17
5,944,5,2022-10-27,BRK,,DAL,L 125-129 (OT),*,41:14,12,21,.571,2,5,.400,10,16,.625,.619,11,11,1.000,1,2,3,5,2,1,3,2,37,30.8,-6
6,945,6,2022-10-29,BRK,,IND,L 116-125,*,38:47,8,20,.400,1,5,.200,7,15,.467,.425,9,9,1.000,1,4,5,2,3,4,3,0,26,21.3,-3
7,946,7,2022-10-31,BRK,,IND,W 116-109,*,39:04,13,22,.591,2,5,.400,11,17,.647,.636,8,8,1.000,0,9,9,7,1,1,3,2,36,31.3,8
8,947,8,2022-11-01,BRK,,CHI,L 99-108,*,37:59,9,16,.563,2,4,.500,7,12,.583,.625,12,12,1.000,0,9,9,6,1,2,7,3,32,25.5,-7
9,948,9,2022-11-04,BRK,@,WAS,W 128-86,*,33:11,10,21,.476,2,6,.333,8,15,.533,.524,6,6,1.000,0,9,9,11,0,1,2,1,28,26.0,35
10,949,10,2022-11-05,BRK,@,CHO,W 98-94,*,37:20,10,20,.500,1,4,.250,9,16,.563,.525,6,6,1.000,0,8,8,2,0,3,3,2,27,19.1,13
11,950,11,2022-11-07,BRK,@,DAL,L 94-96,*,38:40,10,20,.500,1,3,.333,9,17,.529,.525,5,7,.714,1,3,4,4,2,1,3,5,26,17.3,1
12,951,12,2022-11-09,BRK,,NYK,W 112-85,*,34:32,10,19,.526,1,5,.200,9,14,.643,.553,8,10,.800,1,11,12,12,1,2,1,1,29,32.3,32
13,952,13,2022-11-12,BRK,@,LAC,W 110-95,*,34:32,10,16,.625,3,5,.600,7,11,.636,.719,4,4,1.000,0,6,6,3,2,2,3,4,27,22.5,16
14,953,14,2022-11-13,BRK,@,LAL,L 103-116,*,37:50,8,16,.500,2,3,.667,6,13,.462,.563,13,15,.867,0,9,9,7,0,2,3,2,31,27.4,-15
15,954,15,2022-11-15,BRK,@,SAC,L 121-153,*,30:39,8,15,.533,0,1,.000,8,14,.571,.533,11,11,1.000,0,4,4,6,0,1,2,2,27,23.0,-31
16,955,16,2022-11-17,BRK,@,POR,W 109-107,*,38:48,13,22,.591,1,4,.250,12,18,.667,.614,8,10,.800,0,8,8,3,0,1,4,4,35,23.6,15
17,956,17,2022-11-20,BRK,,MEM,W 127-115,*,35:41,9,16,.563,0,3,.000,9,13,.692,.563,8,8,1.000,0,7,7,7,1,1,4,3,26,21.9,5
18,957,18,2022-11-22,BRK,@,PHI,L 106-115,*,36:46,9,14,.643,0,1,.000,9,13,.692,.643,2,2,1.000,0,5,5,5,0,2,3,0,20,17.2,-10
19,958,19,2022-11-23,BRK,@,TOR,W 112-98,*,32:48,5,10,.500,2,5,.400,3,5,.600,.600,0,0,,0,7,7,5,0,3,4,2,12,9.9,30
20,959,20,2022-11-25,BRK,@,IND,L 117-128,*,38:50,15,31,.484,3,12,.250,12,19,.632,.532,3,4,.750,2,7,9,8,0,2,5,4,36,23.8,0
21,960,21,2022-11-27,BRK,,POR,W 111-97,*,36:41,12,20,.600,3,6,.500,9,14,.643,.675,4,4,1.000,0,5,5,5,0,0,1,4,31,24.2,21
22,961,22,2022-11-28,BRK,,ORL,W 109-102,*,38:58,19,24,.792,3,5,.600,16,19,.842,.854,4,4,1.000,1,6,7,5,2,2,6,4,45,37.6,11
23,962,23,2022-11-30,BRK,,WAS,W 113-107,*,36:52,13,20,.650,2,3,.667,11,17,.647,.700,11,11,1.000,0,5,5,5,0,1,1,4,39,33.3,-1
24,963,24,2022-12-02,BRK,,TOR,W 114-105,*,37:40,6,10,.600,0,3,.000,6,7,.857,.600,5,6,.833,0,9,9,7,0,2,2,0,17,19.0,1
25,964,25,2022-12-04,BRK,,BOS,L 92-103,*,39:45,13,24,.542,1,5,.200,12,19,.632,.563,4,5,.800,0,7,7,5,2,2,8,0,31,20.0,-19
26,965,26,2022-12-07,BRK,,CHO,W 122-116,*,36:28,12,19,.632,2,5,.400,10,14,.714,.684,3,3,1.000,0,9,9,8,0,0,3,2,29,25.0,4
27,966,27,2022-12-09,BRK,,ATL,W 120-116,*,36:12,14,25,.560,2,7,.286,12,18,.667,.600,4,4,1.000,0,4,4,4,1,2,4,0,34,24.5,8
27,,28,2022-12-10,BRK,@,IND,W 136-133,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
28,967,29,2022-12-12,BRK,@,WAS,W 112-100,*,33:26,11,17,.647,3,6,.500,8,11,.727,.735,5,5,1.000,0,9,9,6,1,1,3,1,30,27.7,11
29,968,30,2022-12-16,BRK,@,TOR,W 119-116,*,37:07,10,15,.667,2,3,.667,8,12,.667,.733,6,6,1.000,0,4,4,3,1,0,5,3,28,19.6,9
30,969,31,2022-12-18,BRK,@,DET,W 124-121,*,36:23,14,22,.636,3,5,.600,11,17,.647,.705,12,13,.923,1,5,6,2,1,2,6,3,43,31.6,-3
31,970,32,2022-12-21,BRK,,GSW,W 143-113,*,29:06,9,17,.529,1,3,.333,8,14,.571,.559,4,4,1.000,0,7,7,5,4,0,2,2,23,21.5,29
32,971,33,2022-12-23,BRK,,MIL,W 118-100,*,34:14,9,17,.529,2,6,.333,7,11,.636,.588,4,4,1.000,0,5,5,6,1,1,3,2,24,19.3,17
33,972,34,2022-12-26,BRK,@,CLE,W 125-117,*,36:27,10,18,.556,5,8,.625,5,10,.500,.694,7,8,.875,1,8,9,5,0,0,4,6,32,23.2,10
34,973,35,2022-12-28,BRK,@,ATL,W 108-107,*,36:27,8,17,.471,1,4,.250,7,13,.538,.500,9,9,1.000,1,15,16,8,0,2,4,3,26,24.3,9
