Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,885,1,2021-10-19,BRK,@,MIL,L 104-127,*,30:15,13,25,.520,3,7,.429,10,18,.556,.580,3,6,.500,0,11,11,4,0,2,1,2,32,24.2,-20
2,886,2,2021-10-22,BRK,@,PHI,W 114-109,*,36:54,9,20,.450,1,6,.167,8,14,.571,.475,10,10,1.000,3,12,15,12,1,1,2,1,29,32.0,11
3,887,3,2021-10-24,BRK,,CHO,L 95-111,*,36:08,17,24,.708,2,6,.333,15,18,.833,.750,2,2,1.000,1,4,5,3,1,0,3,0,38,30.0,-10
4,888,4,2021-10-25,BRK,,WAS,W 104-90,*,34:44,9,17,.529,1,2,.500,8,15,.533,.559,6,9,.667,0,8,8,4,2,0,1,1,25,21.3,6
5,889,5,2021-10-27,BRK,,MIA,L 93-106,*,37:14,9,18,.500,2,4,.500,7,14,.500,.556,5,6,.833,0,11,11,2,1,2,5,1,25,17.3,-14
6,890,6,2021-10-29,BRK,,IND,W 105-98,*,37:22,7,10,.700,1,3,.333,6,7,.857,.750,7,8,.875,0,11,11,7,1,0,7,2,22,18.8,10
7,891,7,2021-10-31,BRK,,DET,W 117-91,*,27:20,10,13,.769,1,1,1.000,9,12,.750,.808,2,3,.667,0,1,1,5,0,1,3,3,23,17.8,10
8,892,8,2021-11-03,BRK,,ATL,W 117-108,*,35:55,13,20,.650,2,6,.333,11,14,.786,.700,4,6,.667,0,7,7,5,1,1,3,2,32,25.9,15
9,893,9,2021-11-05,BRK,@,DET,W 96-90,*,36:30,12,27,.444,2,6,.333,10,21,.476,.481,3,4,.750,0,10,10,5,0,1,3,0,29,18.7,20
10,894,10,2021-11-07,BRK,@,TOR,W 116-103,*,36:53,11,19,.579,3,6,.500,8,13,.615,.658,6,6,1.000,1,6,7,7,0,0,6,2,31,22.7,17
11,895,11,2021-11-08,BRK,@,CHI,L 95-118,*,35:04,13,24,.542,3,8,.375,10,16,.625,.604,9,9,1.000,1,10,11,4,0,0,2,1,38,30.5,-22
12,896,12,2021-11-10,BRK,@,ORL,W 123-90,*,29:11,11,12,.917,2,2,1.000,9,10,.900,1.000,6,7,.857,0,5,5,2,0,0,6,1,30,22.1,9
13,897,13,2021-11-12,BRK,@,NOP,W 120-112,*,37:34,11,17,.647,3,3,1.000,8,14,.571,.735,3,4,.750,0,7,7,8,0,0,2,0,28,25.8,17
14,898,14,2021-11-14,BRK,@,OKC,W 120-96,*,34:10,9,17,.529,2,6,.333,7,11,.636,.588,13,14,.929,0,8,8,4,1,0,1,1,33,29.1,30
15,899,15,2021-11-16,BRK,,GSW,L 99-117,*,32:14,6,19,.316,2,6,.333,4,13,.308,.368,5,6,.833,1,4,5,3,0,0,2,1,19,9.3,-24
16,900,16,2021-11-17,BRK,,CLE,W 109-99,*,37:04,9,16,.563,2,3,.667,7,13,.538,.625,3,3,1.000,0,4,4,3,0,0,1,0,23,17.7,-5
