Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,528,1,2022-10-19,DEN,@,UTA,L 102-123,*,33:25,12,17,.706,1,3,.333,11,14,.786,.735,2,2,1.000,2,2,4,6,3,0,3,4,27,24.5,-5
2,529,2,2022-10-21,DEN,@,GSW,W 128-123,*,34:24,7,13,.538,1,2,.500,6,11,.545,.577,11,11,1.000,3,9,12,10,0,0,5,4,26,24.9,-3
3,530,3,2022-10-22,DEN,,OKC,W 122-117,*,38:41,6,10,.600,1,1,1.000,5,9,.556,.650,6,9,.667,1,15,16,13,1,1,3,2,19,25.4,18
4,531,4,2022-10-24,DEN,@,POR,L 110-135,*,26:58,3,4,.750,0,0,,3,4,.750,.750,3,3,1.000,1,8,9,9,0,0,1,5,9,13.8,-10
5,532,5,2022-10-26,DEN,,LAL,W 110-99,*,34:48,12,17,.706,0,4,.000,12,13,.923,.706,7,7,1.000,1,12,13,9,4,0,3,3,31,34.3,28
6,533,6,2022-10-28,DEN,,UTA,W 117-101,*,25:28,3,10,.300,0,4,.000,3,6,.500,.300,6,8,.750,3,7,10,6,1,1,1,1,12,14.1,8
7,534,7,2022-10-30,DEN,@,LAL,L 110-121,*,35:52,8,16,.500,1,5,.200,7,11,.636,.531,6,7,.857,4,10,14,6,0,2,2,0,23,24.0,0
8,535,8,2022-11-03,DEN,@,OKC,W 122-110,*,35:38,6,9,.667,0,0,,6,9,.667,.667,3,3,1.000,0,13,13,14,1,0,10,3,15,14.6,15
9,536,9,2022-11-05,DEN,,SAS,W 126-101,*,26:34,9,10,.900,1,1,1.000,8,9,.889,.950,2,2,1.000,0,6,6,10,2,0,4,2,21,23.6,20
10,537,10,2022-11-07,DEN,@,SAS,W 115-109,*,33:57,11,20,.550,0,1,.000,11,19,.579,.550,4,5,.800,1,7,8,10,2,3,4,2,26,25.1,15
11,538,11,2022-11-09,DEN,@,IND,W 122-119,*,20:42,10,20,.500,1,3,.333,9,17,.529,.525,3,3,1.000,1,3,4,6,2,1,1,5,24,19.5,11
12,539,12,2022-11-11,DEN,@,BOS,L 112-131,*,29:44,12,20,.600,2,4,.500,10,16,.625,.650,3,4,.750,3,5,8,3,0,0,2,4,29,21.5,-14
13,540,13,2022-11-13,DEN,@,CHI,W 126-103,*,27:36,4,4,1.000,0,0,,4,4,1.000,1.000,0,0,,0,6,6,14,3,0,2,0,8,19.4,29
13,,14,2022-11-16,DEN,,NYK,L 103-106,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
13,,15,2022-11-18,DEN,@,DAL,L 99-127,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
13,,16,2022-11-20,DEN,@,DAL,W 98-97,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
14,541,17,2022-11-22,DEN,,DET,L 108-110,*,36:44,12,16,.750,0,0,,12,16,.750,.750,7,11,.636,2,7,9,10,1,1,5,3,31,29.0,13
15,542,18,2022-11-23,DEN,@,OKC,W 131-126 (OT),*,43:09,11,15,.733,1,3,.333,10,12,.833,.767,16,18,.889,3,7,10,9,0,0,4,5,39,36.6,11
