Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
48,501,54,2022-02-08,DEN,,NYK,W 132-115,*,30:24,8,14,.571,0,3,.000,8,11,.727,.571,5,7,.714,3,8,11,7,0,0,6,2,21,16.2,1
49,502,55,2022-02-11,DEN,@,BOS,L 102-108,*,34:21,9,20,.450,3,10,.300,6,10,.600,.525,2,4,.500,5,11,16,11,0,2,9,2,23,17.9,3
50,503,56,2022-02-12,DEN,@,TOR,W 110-109,*,34:59,10,16,.625,0,2,.000,10,14,.714,.625,8,10,.800,5,10,15,6,0,2,4,1,28,27.7,3
51,504,57,2022-02-14,DEN,,ORL,W 121-111,*,34:48,10,26,.385,3,9,.333,7,17,.412,.442,3,3,1.000,5,10,15,7,1,0,5,2,26,18.4,7
52,505,58,2022-02-16,DEN,@,GSW,W 117-116,*,34:21,13,24,.542,3,5,.600,10,19,.526,.604,6,9,.667,5,12,17,8,1,0,5,3,35,29.7,6
53,506,59,2022-02-24,DEN,@,SAC,W 128-110,*,34:21,9,15,.600,2,4,.500,7,11,.636,.667,5,7,.714,1,11,12,9,4,1,2,3,25,29.1,17
54,507,60,2022-02-26,DEN,,SAC,W 115-110,*,34:24,6,16,.375,0,5,.000,6,11,.545,.375,6,8,.750,2,8,10,11,0,0,2,5,18,15.9,-5
55,508,61,2022-02-27,DEN,@,POR,W 124-92,*,26:08,3,5,.600,0,1,.000,3,4,.750,.600,2,2,1.000,1,17,18,11,1,0,2,2,8,17.4,6
56,509,62,2022-03-02,DEN,,OKC,L 107-119,*,32:47,10,17,.588,0,4,.000,10,13,.769,.588,2,2,1.000,4,12,16,4,2,0,6,2,22,18.5,-27
56,,63,2022-03-04,DEN,,HOU,W 116-101,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
57,510,64,2022-03-06,DEN,,NOP,W 138-130 (OT),*,42:34,16,22,.727,3,5,.600,13,17,.765,.795,11,12,.917,3,9,12,11,3,4,5,3,46,48.7,22
58,511,65,2022-03-07,DEN,,GSW,W 131-124,*,34:44,12,17,.706,0,0,,12,17,.706,.706,8,14,.571,3,12,15,13,0,1,3,3,32,33.8,14
59,512,66,2022-03-09,DEN,@,SAC,W 106-100,*,35:01,15,24,.625,0,2,.000,15,22,.682,.625,8,9,.889,3,15,18,7,1,2,3,4,38,36.1,6
60,513,67,2022-03-10,DEN,,GSW,L 102-113,*,31:46,9,21,.429,0,8,.000,9,13,.692,.429,5,6,.833,1,11,12,9,1,1,5,4,23,16.9,-7
61,514,68,2022-03-12,DEN,,TOR,L 115-127,*,30:31,9,13,.692,0,0,,9,13,.692,.692,8,9,.889,4,6,10,7,0,2,3,2,26,27.2,-4
62,515,69,2022-03-14,DEN,@,PHI,W 114-110,*,33:32,8,16,.500,1,3,.333,7,13,.538,.531,5,7,.714,1,12,13,8,2,2,5,1,22,21.1,-9
63,516,70,2022-03-16,DEN,@,WAS,W 127-109,*,26:18,10,14,.714,2,2,1.000,8,12,.667,.786,7,7,1.000,2,11,13,8,2,1,3,2,29,32.4,16
64,517,71,2022-03-18,DEN,@,CLE,L 116-119 (OT),*,37:30,15,24,.625,0,4,.000,15,20,.750,.625,2,2,1.000,5,5,10,8,2,1,4,3,32,29.3,-16
65,518,72,2022-03-20,DEN,,BOS,L 104-124,*,33:01,8,23,.348,2,6,.333,6,17,.353,.391,5,6,.833,4,4,8,4,1,1,2,2,23,15.4,-21
66,519,73,2022-03-22,DEN,,LAC,W 127-115,*,34:19,9,15,.600,0,2,.000,9,13,.692,.600,12,13,.923,1,13,14,6,2,3,1,5,30,32.6,10
67,520,74,2022-03-24,DEN,,PHO,L 130-140,*,32:19,9,10,.900,1,2,.500,8,8,1.000,.950,9,11,.818,2,4,6,6,3,0,8,2,28,24.8,-15
68,521,75,2022-03-26,DEN,,OKC,W 113-107,*,34:56,13,15,.867,0,1,.000,13,14,.929,.867,9,10,.900,2,10,12,8,2,2,3,4,35,38.1,19
69,522,76,2022-03-28,DEN,@,CHO,W 113-109,*,35:26,9,17,.529,0,0,,9,17,.529,.529,8,12,.667,5,14,19,11,2,0,4,1,26,29.1,21
70,523,77,2022-03-30,DEN,@,IND,W 125-118,*,35:39,15,19,.789,0,0,,15,19,.789,.789,7,8,.875,3,10,13,9,2,1,7,3,37,35.2,11
71,524,78,2022-04-01,DEN,,MIN,L 130-136,*,43:23,14,21,.667,0,2,.000,14,19,.737,.667,10,12,.833,5,14,19,8,1,0,4,2,38,37.6,4
72,525,79,2022-04-03,DEN,@,LAL,W 129-118,*,32:59,15,22,.682,0,3,.000,15,19,.789,.682,8,11,.727,1,17,18,6,2,2,7,3,38,32.6,7
73,526,80,2022-04-05,DEN,,SAS,L 97-116,*,40:23,18,35,.514,1,5,.200,17,30,.567,.529,4,6,.667,2,15,17,4,2,0,2,3,41,30.4,-11
74,527,81,2022-04-07,DEN,,MEM,W 122-109,*,35:15,16,24,.667,1,3,.333,15,21,.714,.688,2,2,1.000,3,13,16,6,4,1,3,2,35,35.7,37
74,,82,2022-04-10,DEN,,LAL,L 141-146 (OT),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
,,,,,,,46-28,74,2474,764,1311,.583,97,288,.337,667,1023,.652,.620,379,468,.810,206,813,1019,584,109,63,281,191,2004,26.3,442
