Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,382,1,2020-12-23,DEN,,SAC,L 122-124 (OT),*,41:50,11,18,.611,1,2,.500,10,16,.625,.639,6,9,.667,3,12,15,14,0,2,6,3,29,29.3,5
2,383,2,2020-12-25,DEN,,LAC,L 108-121,*,38:29,7,13,.538,1,4,.250,6,9,.667,.577,9,11,.818,3,6,9,10,1,0,5,2,24,23.0,-20
3,384,3,2020-12-28,DEN,,HOU,W 124-111,*,34:07,8,11,.727,1,1,1.000,7,10,.700,.773,2,3,.667,4,8,12,18,3,1,3,2,19,31.8,20
4,385,4,2020-12-29,DEN,@,SAC,L 115-125,*,38:33,9,14,.643,1,3,.333,8,11,.727,.679,7,7,1.000,1,9,10,12,2,0,10,4,26,22.0,1
5,386,5,2021-01-01,DEN,,PHO,L 103-106,*,29:31,7,13,.538,3,5,.600,4,8,.500,.654,0,0,,3,6,9,11,1,0,1,5,17,20.3,1
6,387,6,2021-01-03,DEN,@,MIN,W 124-109,*,31:42,8,12,.667,0,1,.000,8,11,.727,.667,3,3,1.000,3,9,12,12,0,0,7,5,19,18.0,27
7,388,7,2021-01-05,DEN,,MIN,W 123-116,*,36:34,12,20,.600,1,1,1.000,11,19,.579,.625,10,12,.833,5,10,15,6,3,1,4,5,35,33.4,13
8,389,8,2021-01-07,DEN,,DAL,L 117-124 (OT),*,41:13,14,31,.452,4,10,.400,10,21,.476,.516,6,10,.600,1,10,11,4,2,0,3,4,38,24.2,-6
9,390,9,2021-01-09,DEN,@,PHI,W 115-103,*,29:02,6,8,.750,0,0,,6,8,.750,.750,3,3,1.000,1,8,9,12,0,0,4,2,15,18.5,24
10,391,10,2021-01-10,DEN,@,NYK,W 114-89,*,30:04,9,15,.600,1,3,.333,8,12,.667,.633,3,3,1.000,3,7,10,5,1,1,2,1,22,22.1,8
