Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,597,1,2023-10-24,DEN,,LAL,W 119-107,*,36:16,12,22,.545,3,5,.600,9,17,.529,.614,2,4,.500,3,10,13,11,1,1,2,2,29,29.3,15
2,598,2,2023-10-27,DEN,@,MEM,W 108-104,*,34:58,8,14,.571,1,4,.250,7,10,.700,.607,5,6,.833,3,9,12,7,1,1,9,1,22,17.0,6
3,599,3,2023-10-29,DEN,@,OKC,W 128-95,*,29:52,12,16,.750,1,2,.500,11,14,.786,.781,3,3,1.000,2,12,14,5,0,0,4,3,28,24.9,21
4,600,4,2023-10-30,DEN,,UTA,W 110-102,*,35:14,12,16,.750,1,3,.333,11,13,.846,.781,2,5,.400,1,9,10,11,0,2,1,3,27,29.7,13
5,601,5,2023-11-01,DEN,@,MIN,L 89-110,*,29:58,11,23,.478,1,6,.167,10,17,.588,.500,2,2,1.000,2,8,10,3,0,0,5,0,25,14.2,-19
6,602,6,2023-11-03,DEN,,DAL,W 125-114,*,35:35,14,16,.875,2,2,1.000,12,14,.857,.938,3,5,.600,7,7,14,9,1,1,4,3,33,36.4,17
7,603,7,2023-11-04,DEN,,CHI,W 123-101,*,33:21,9,16,.563,1,3,.333,8,13,.615,.594,9,9,1.000,4,12,16,9,3,0,1,3,28,33.9,33
8,604,8,2023-11-06,DEN,,NOP,W 134-116,*,36:22,15,24,.625,2,6,.333,13,18,.722,.667,3,5,.600,3,11,14,12,1,1,2,1,35,36.5,16
9,605,9,2023-11-08,DEN,,GSW,W 108-105,*,36:36,14,25,.560,1,8,.125,13,17,.765,.580,6,10,.600,3,10,13,5,3,1,3,3,35,29.6,3
10,606,10,2023-11-12,DEN,@,HOU,L 104-107,*,38:14,13,26,.500,2,6,.333,11,20,.550,.538,8,8,1.000,6,15,21,11,0,1,3,3,36,35.9,12
11,607,11,2023-11-14,DEN,,LAC,W 111-108,*,35:45,8,23,.348,2,7,.286,6,16,.375,.391,14,14,1.000,3,13,16,9,1,0,4,2,32,27.6,3
12,608,12,2023-11-17,DEN,@,NOP,L 110-115,*,36:10,10,20,.500,1,8,.125,9,12,.750,.525,5,5,1.000,2,14,16,18,1,1,4,2,26,31.1,5
