Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
37,37,10,2025-05-14,MIN,,GSW,W 121-110,*,41:09,8,15,.533,5,9,.556,3,6,.500,.700,1,2,.500,1,6,7,12,1,3,7,3,22,20.1,20
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,38,11,2025-05-20,MIN,@,OKC,L 88-114,*,36:34,5,13,.385,3,8,.375,2,5,.400,.500,5,7,.714,0,9,9,3,0,1,4,4,18,10.0,-23
39,39,12,2025-05-22,MIN,@,OKC,L 103-118,*,40:04,12,26,.462,1,9,.111,11,17,.647,.481,7,10,.700,2,7,9,6,0,1,0,1,32,25.4,-22
40,40,13,2025-05-24,MIN,,OKC,W 143-101,*,29:42,12,17,.706,5,8,.625,7,9,.778,.853,1,2,.500,1,8,9,6,2,0,4,2,30,27.0,36
41,41,14,2025-05-26,MIN,,OKC,L 126-128,*,40:56,5,13,.385,1,7,.143,4,6,.667,.423,5,7,.714,1,3,4,6,0,0,5,3,16,7.7,-3
42,42,15,2025-05-28,MIN,@,OKC,L 94-124,*,38:30,7,18,.389,1,7,.143,6,11,.545,.417,4,6,.667,0,6,6,2,0,1,3,2,19,8.5,-29
43,43,1,2026-04-18,MIN,@,DEN,L 105-116,*,38:03,7,19,.368,2,9,.222,5,10,.500,.421,6,7,.857,0,9,9,7,0,3,3,4,22,16.2,-3
44,44,2,2026-04-20,MIN,@,DEN,W 119-114,*,40:02,10,25,.400,3,11,.273,7,14,.500,.460,7,9,.778,1,9,10,2,1,2,2,2,30,20.1,0
45,45,3,2026-04-23,MIN,,DEN,W 113-96,*,23:40,6,15,.400,2,8,.250,4,7,.571,.467,3,3,1.000,0,5,5,3,0,0,2,5,17,8.5,11
46,46,4,2026-04-25,MIN,,DEN,W 112-96,*,17:33,1,8,.125,1,3,.333,0,5,.000,.188,2,2,1.000,0,3,3,0,0,0,0,0,5,0.7,-3
,,,,,,,24-22,46,1779,420,913,.460,138,376,.367,282,537,.525,.536,226,285,.793,44,262,306,242,58,42,121,115,1204,19.8,77
