Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,1,2020-12-23,MIN,,DET,W 111-101,,25:09,5,12,.417,1,5,.200,4,7,.571,.458,4,4,1.000,2,2,4,4,0,0,1,1,15,12.0,4
2,2,2,2020-12-26,MIN,@,UTA,W 116-111,,22:20,8,12,.667,2,3,.667,6,9,.667,.750,0,0,,0,1,1,1,2,0,0,4,18,14.2,6
3,3,3,2020-12-27,MIN,@,LAL,L 91-127,,28:32,6,21,.286,1,9,.111,5,12,.417,.310,2,2,1.000,2,2,4,2,1,0,1,2,15,5.3,-14
4,4,4,2020-12-29,MIN,@,LAC,L 101-124,,24:42,4,10,.400,4,7,.571,0,3,.000,.600,0,0,,0,0,0,0,0,1,0,1,12,6.9,-21
5,5,5,2021-01-01,MIN,,WAS,L 109-130,,26:21,7,16,.438,2,8,.250,5,8,.625,.500,1,4,.250,0,3,3,2,0,1,3,2,17,6.6,-7
6,6,6,2021-01-03,MIN,,DEN,L 109-124,,22:56,2,4,.500,1,3,.333,1,1,1.000,.625,0,0,,0,0,0,4,1,0,3,1,5,3.4,-8
7,7,7,2021-01-05,MIN,@,DEN,L 116-123,,25:34,6,19,.316,1,7,.143,5,12,.417,.342,2,2,1.000,1,2,3,1,0,0,3,1,15,2.7,-9
8,8,8,2021-01-07,MIN,@,POR,L 117-135,,31:13,9,21,.429,3,10,.300,6,11,.545,.500,5,7,.714,2,2,4,1,2,0,4,2,26,14.0,-15
9,9,9,2021-01-09,MIN,,SAS,L 122-125 (OT),,30:16,5,11,.455,1,4,.250,4,7,.571,.500,2,2,1.000,0,4,4,4,0,0,3,3,13,7.1,2
10,10,10,2021-01-10,MIN,,SAS,W 96-88,,17:41,0,8,.000,0,2,.000,0,6,.000,.000,0,0,,3,3,6,1,0,0,2,1,0,-4.3,-5
11,11,11,2021-01-13,MIN,,MEM,L 107-118,,16:51,1,6,.167,0,2,.000,1,4,.250,.167,0,0,,2,1,3,1,0,0,0,1,2,0.2,-3
12,12,12,2021-01-18,MIN,@,ATL,L 97-108,,30:22,5,16,.313,2,5,.400,3,11,.273,.375,0,0,,1,4,5,2,0,0,1,2,12,4.3,1
13,13,13,2021-01-20,MIN,,ORL,L 96-97,,22:49,3,14,.214,1,4,.250,2,10,.200,.250,1,2,.500,0,0,0,0,0,0,2,0,8,-3.0,13
14,14,14,2021-01-22,MIN,,ATL,L 98-116,,24:01,2,12,.167,1,5,.200,1,7,.143,.208,0,0,,0,3,3,1,1,0,3,2,5,-3.8,-13
15,15,15,2021-01-23,MIN,,NOP,W 120-110,,20:16,5,14,.357,2,7,.286,3,7,.429,.429,6,6,1.000,0,1,1,1,2,0,2,0,18,11.2,9
16,16,16,2021-01-25,MIN,@,GSW,L 108-130,,27:13,4,13,.308,1,3,.333,3,10,.300,.346,6,7,.857,2,1,3,1,1,0,2,2,15,7.7,-10
17,17,17,2021-01-27,MIN,@,GSW,L 111-123,,32:23,9,19,.474,5,8,.625,4,11,.364,.605,2,2,1.000,1,3,4,2,3,0,3,1,25,17.9,-2
18,18,18,2021-01-29,MIN,,PHI,L 94-118,*,28:48,5,13,.385,3,7,.429,2,6,.333,.500,2,2,1.000,0,4,4,3,0,0,1,2,15,9.4,-25
19,19,19,2021-01-31,MIN,,CLE,W 109-104,*,30:17,9,15,.600,4,7,.571,5,8,.625,.733,1,1,1.000,0,5,5,4,1,1,0,2,23,21.3,0
20,20,20,2021-02-01,MIN,@,CLE,L 98-100,*,31:18,5,12,.417,2,5,.400,3,7,.429,.500,1,1,1.000,0,3,3,2,1,0,0,2,13,9.1,-3
21,21,21,2021-02-03,MIN,@,SAS,L 108-111,*,31:34,6,14,.429,1,3,.333,5,11,.455,.464,1,2,.500,0,6,6,2,0,1,0,1,14,9.7,-5
22,22,22,2021-02-05,MIN,@,OKC,W 106-103,*,32:15,3,14,.214,1,7,.143,2,7,.286,.250,2,2,1.000,0,2,2,5,0,1,2,1,9,2.8,-6
23,23,23,2021-02-06,MIN,@,OKC,L 118-120,*,31:15,8,16,.500,2,5,.400,6,11,.545,.563,2,4,.500,0,8,8,4,1,1,0,1,20,17.7,2
24,24,24,2021-02-08,MIN,@,DAL,L 122-127,*,30:56,8,19,.421,3,8,.375,5,11,.455,.500,3,4,.750,0,2,2,4,2,2,1,2,22,16.5,-13
25,25,25,2021-02-10,MIN,,LAC,L 112-119,*,29:44,4,9,.444,1,5,.200,3,4,.750,.500,2,2,1.000,2,2,4,2,1,0,3,1,11,7.3,1
26,26,26,2021-02-12,MIN,@,CHO,L 114-120,*,33:58,9,21,.429,2,6,.333,7,15,.467,.476,1,1,1.000,0,6,6,3,0,0,0,2,21,13.0,-4
27,27,27,2021-02-14,MIN,@,TOR,W 116-112,*,34:57,7,15,.467,1,7,.143,6,8,.750,.500,3,4,.750,0,7,7,3,1,0,2,1,18,12.7,14
28,28,28,2021-02-16,MIN,,LAL,L 104-112,*,34:20,10,21,.476,5,10,.500,5,11,.455,.595,3,4,.750,0,7,7,5,1,2,3,2,28,21.1,0
29,29,29,2021-02-17,MIN,,IND,L 128-134 (OT),*,38:46,3,15,.200,0,4,.000,3,11,.273,.200,2,2,1.000,0,5,5,4,0,0,1,0,8,2.0,-23
30,30,30,2021-02-19,MIN,,TOR,L 81-86,*,34:05,3,14,.214,0,7,.000,3,7,.429,.214,1,2,.500,0,3,3,4,2,1,1,0,7,3.4,-13
31,31,31,2021-02-21,MIN,@,NYK,L 99-103,*,31:38,3,11,.273,3,6,.500,0,5,.000,.409,3,4,.750,0,3,3,4,0,0,3,2,12,5.0,-8
32,32,32,2021-02-23,MIN,@,MIL,L 112-139,*,27:43,3,13,.231,3,8,.375,0,5,.000,.346,0,0,,0,6,6,3,0,2,4,1,9,2.0,-10
33,33,33,2021-02-24,MIN,@,CHI,L 126-133 (OT),*,36:57,7,20,.350,3,9,.333,4,11,.364,.425,4,4,1.000,3,6,9,6,2,0,3,2,21,16.1,5
34,34,34,2021-02-27,MIN,@,WAS,L 112-128,*,32:10,9,22,.409,3,11,.273,6,11,.545,.477,0,2,.000,2,4,6,0,1,2,1,2,21,11.6,2
35,35,35,2021-02-28,MIN,,PHO,L 99-118,*,35:28,8,22,.364,2,8,.250,6,14,.429,.409,6,6,1.000,0,5,5,1,3,0,4,3,24,11.8,-15
36,36,36,2021-03-03,MIN,,CHO,L 102-135,*,33:09,8,23,.348,1,10,.100,7,13,.538,.370,2,2,1.000,3,2,5,3,2,0,4,2,19,8.1,-24
37,37,37,2021-03-11,MIN,@,NOP,W 135-105,*,37:21,10,22,.455,2,5,.400,8,17,.471,.500,5,6,.833,0,4,4,2,3,0,3,3,27,16.6,11
38,38,38,2021-03-13,MIN,,POR,L 121-125,*,29:29,8,18,.444,3,7,.429,5,11,.455,.528,2,4,.500,0,8,8,3,1,0,3,4,21,11.7,-6
39,39,39,2021-03-14,MIN,,POR,W 114-112,*,36:36,12,24,.500,6,14,.429,6,10,.600,.625,4,4,1.000,0,4,4,2,1,0,2,3,34,22.4,-7
40,40,40,2021-03-16,MIN,@,LAL,L 121-137,*,38:26,11,22,.500,3,7,.429,8,15,.533,.568,4,6,.667,2,2,4,1,1,0,2,1,29,18.5,-17
41,41,41,2021-03-18,MIN,@,PHO,W 123-119,*,38:17,15,31,.484,4,13,.308,11,18,.611,.548,8,13,.615,3,4,7,3,2,0,2,2,42,28.9,9
42,42,42,2021-03-19,MIN,@,PHO,L 101-113,*,36:10,4,18,.222,3,8,.375,1,10,.100,.306,0,0,,2,8,10,6,1,1,7,2,11,1.9,-12
43,43,43,2021-03-22,MIN,,OKC,L 103-112,*,32:10,6,16,.375,2,7,.286,4,9,.444,.438,2,4,.500,1,1,2,3,1,0,2,1,16,8.1,-17
44,44,44,2021-03-24,MIN,,DAL,L 108-128,*,37:15,9,23,.391,3,12,.250,6,11,.545,.457,8,9,.889,0,5,5,3,1,0,0,3,29,19.5,-7
45,45,45,2021-03-26,MIN,,HOU,W 107-101,*,33:05,4,17,.235,2,7,.286,2,10,.200,.294,2,2,1.000,0,6,6,2,1,0,1,1,12,4.5,-12
