Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
68,291,71,2024-03-24,MIN,,GSW,W 114-110,*,37:33,7,18,.389,4,8,.500,3,10,.300,.500,5,8,.625,0,6,6,8,0,0,2,1,23,17.0,-9
69,292,72,2024-03-27,MIN,,DET,W 106-91,*,29:11,4,11,.364,1,4,.250,3,7,.429,.409,0,2,.000,1,2,3,5,1,0,3,0,9,4.9,9
70,293,73,2024-03-29,MIN,@,DEN,W 111-98,*,39:20,8,19,.421,0,8,.000,8,11,.727,.421,9,10,.900,1,3,4,5,3,0,2,2,25,19.8,11
71,294,74,2024-03-31,MIN,,CHI,L 101-109,*,36:07,9,20,.450,0,5,.000,9,15,.600,.450,4,6,.667,2,9,11,5,0,1,6,1,22,12.7,-10
72,295,75,2024-04-02,MIN,,HOU,W 113-106,*,36:12,5,16,.313,0,6,.000,5,10,.500,.313,11,11,1.000,1,4,5,3,2,0,3,1,21,14.4,0
73,296,76,2024-04-03,MIN,,TOR,W 133-85,*,30:07,10,23,.435,5,12,.417,5,11,.455,.543,3,5,.600,0,3,3,6,2,0,0,0,28,22.2,26
74,297,77,2024-04-05,MIN,@,PHO,L 87-97,*,32:35,6,19,.316,2,6,.333,4,13,.308,.368,3,3,1.000,3,5,8,3,3,0,4,3,17,9.6,-13
75,298,78,2024-04-07,MIN,@,LAL,W 127-117,*,34:44,9,20,.450,3,8,.375,6,12,.500,.525,5,5,1.000,0,1,1,8,1,0,1,1,26,21.1,2
76,299,79,2024-04-09,MIN,,WAS,W 130-121,*,37:34,17,29,.586,6,13,.462,11,16,.688,.690,11,11,1.000,1,5,6,7,0,0,2,0,51,42.6,6
77,300,80,2024-04-10,MIN,@,DEN,L 107-116,*,34:52,9,18,.500,2,6,.333,7,12,.583,.556,5,7,.714,0,2,2,4,0,0,1,1,25,17.2,-16
78,301,81,2024-04-12,MIN,,ATL,W 109-106,*,27:16,4,12,.333,0,5,.000,4,7,.571,.333,6,6,1.000,0,4,4,4,2,0,3,4,14,8.6,0
79,302,82,2024-04-14,MIN,,PHO,L 106-125,*,35:10,3,7,.429,0,2,.000,3,5,.600,.429,7,8,.875,1,5,6,4,1,1,5,3,13,9.4,-21
,,,,,,,54-25,78,2775,718,1558,.461,190,532,.357,528,1026,.515,.522,423,506,.836,52,378,430,405,101,42,241,141,2049,18.7,431
