Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,1,2018-04-15,BOS,,MIL,W 113-107 (OT),*,44:01,8,18,.444,1,3,.333,7,15,.467,.472,2,2,1.000,2,8,10,4,3,1,5,0,19,14.9,9
2,2,2,2018-04-17,BOS,,MIL,W 120-106,*,29:47,2,9,.222,0,2,.000,2,7,.286,.222,0,0,,0,7,7,3,4,1,1,3,4,5.2,11
3,3,3,2018-04-20,BOS,@,MIL,L 92-116,*,27:27,5,11,.455,1,3,.333,4,8,.500,.500,3,5,.600,1,4,5,0,0,1,0,0,14,10.1,-17
4,4,4,2018-04-22,BOS,@,MIL,L 102-104,*,35:57,7,16,.438,2,5,.400,5,11,.455,.500,5,6,.833,2,1,3,3,2,0,1,4,21,15.4,0
5,5,5,2018-04-24,BOS,,MIL,W 92-87,*,24:42,2,7,.286,1,3,.333,1,4,.250,.357,3,3,1.000,0,3,3,4,0,0,0,3,8,6.4,0
6,6,6,2018-04-26,BOS,@,MIL,L 86-97,*,32:28,6,14,.429,2,6,.333,4,8,.500,.500,8,9,.889,0,3,3,3,2,0,3,3,22,15.0,-7
7,7,7,2018-04-28,BOS,,MIL,W 112-96,*,39:01,7,17,.412,1,4,.250,6,13,.462,.441,5,5,1.000,0,6,6,5,0,1,1,1,20,15.5,26
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8,8,2018-04-30,BOS,,PHI,W 117-101,*,39:39,8,16,.500,1,5,.200,7,11,.636,.531,11,12,.917,0,3,3,2,0,1,4,1,28,18.2,18
9,9,9,2018-05-03,BOS,,PHI,W 108-103,*,33:20,7,14,.500,2,4,.500,5,10,.500,.571,5,6,.833,0,2,2,2,1,1,2,2,21,14.5,-7
10,10,10,2018-05-05,BOS,@,PHI,W 101-98 (OT),*,41:27,11,17,.647,1,4,.250,10,13,.769,.676,1,4,.250,1,4,5,4,1,0,4,3,24,15.8,24
11,11,11,2018-05-07,BOS,@,PHI,L 92-103,*,35:34,7,16,.438,2,6,.333,5,10,.500,.500,4,4,1.000,1,3,4,4,0,1,3,3,20,12.5,-1
12,12,12,2018-05-09,BOS,,PHI,W 114-112,*,39:24,8,15,.533,0,0,,8,15,.533,.533,9,11,.818,1,2,3,4,1,0,2,4,25,18.4,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,13,13,2018-05-13,BOS,,CLE,W 108-83,*,37:00,6,11,.545,2,5,.400,4,6,.667,.636,2,2,1.000,1,5,6,3,2,0,2,3,16,13.8,27
14,14,14,2018-05-15,BOS,,CLE,W 107-94,*,31:32,5,12,.417,1,3,.333,4,9,.444,.458,0,0,,0,3,3,2,1,0,2,3,11,4.7,1
15,15,15,2018-05-19,BOS,@,CLE,L 86-116,*,31:12,6,10,.600,0,1,.000,6,9,.667,.600,6,8,.750,0,1,1,1,0,1,1,2,18,12.5,-11
16,16,16,2018-05-21,BOS,@,CLE,L 102-111,*,38:20,5,13,.385,0,1,.000,5,12,.417,.385,7,8,.875,1,1,2,1,0,0,2,3,17,8.0,-14
17,17,17,2018-05-23,BOS,,CLE,W 96-83,*,40:45,7,15,.467,3,7,.429,4,8,.500,.567,7,8,.875,0,7,7,4,4,2,2,3,24,23.0,19
18,18,18,2018-05-25,BOS,@,CLE,L 99-109,*,39:04,7,13,.538,1,3,.333,6,10,.600,.577,0,0,,0,3,3,2,1,0,2,3,15,8.8,-7
19,19,19,2018-05-27,BOS,,CLE,L 79-87,*,42:09,9,17,.529,2,6,.333,7,11,.636,.588,4,4,1.000,0,7,7,1,1,0,4,6,24,13.1,-17
20,20,1,2019-04-14,BOS,,IND,W 84-74,*,33:54,6,11,.545,3,3,1.000,3,8,.375,.682,0,0,,1,2,3,0,2,1,3,1,15,10.3,11
21,21,2,2019-04-17,BOS,,IND,W 99-91,*,38:44,11,20,.550,3,6,.500,8,14,.571,.625,1,1,1.000,1,3,4,2,1,0,2,3,26,17.2,8
22,22,3,2019-04-19,BOS,@,IND,W 104-96,*,33:14,8,16,.500,1,3,.333,7,13,.538,.531,1,4,.250,0,7,7,2,1,0,2,2,18,10.5,5
23,23,4,2019-04-21,BOS,@,IND,W 110-106,*,36:19,4,10,.400,1,3,.333,3,7,.429,.450,9,12,.750,0,8,8,2,1,0,4,2,18,11.4,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,24,5,2019-04-28,BOS,@,MIL,W 112-90,*,29:43,2,7,.286,0,1,.000,2,6,.333,.286,0,0,,1,5,6,1,1,3,0,2,4,5.1,16
25,25,6,2019-04-30,BOS,@,MIL,L 102-123,*,24:30,2,10,.200,0,2,.000,2,8,.250,.200,1,2,.500,0,5,5,1,1,0,1,4,5,-1.0,-18
