Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,226,1,2020-12-23,BOS,,MIL,W 122-121,*,32:49,12,28,.429,6,13,.462,6,15,.400,.536,0,0,,0,7,7,2,2,1,2,2,30,18.6,-6
2,227,2,2020-12-25,BOS,,BRK,L 95-123,*,36:07,9,22,.409,2,6,.333,7,16,.438,.455,0,0,,1,7,8,2,1,1,3,1,20,10.7,-21
3,228,3,2020-12-27,BOS,@,IND,L 107-108,*,35:47,9,21,.429,3,9,.333,6,12,.500,.500,4,4,1.000,0,11,11,5,0,1,5,1,25,16.0,-6
4,229,4,2020-12-29,BOS,@,IND,W 116-111,*,40:27,9,17,.529,1,3,.333,8,14,.571,.559,8,10,.800,0,11,11,4,3,0,4,1,27,22.6,19
5,230,5,2020-12-30,BOS,,MEM,W 126-107,*,23:14,6,12,.500,3,5,.600,3,7,.429,.625,1,1,1.000,0,4,4,3,1,0,0,0,16,14.3,29
6,231,6,2021-01-01,BOS,@,DET,L 93-96,*,37:04,11,24,.458,3,11,.273,8,13,.615,.521,3,5,.600,0,6,6,2,1,1,3,1,28,16.3,4
7,232,7,2021-01-03,BOS,@,DET,W 122-120,*,36:40,10,22,.455,4,8,.500,6,14,.429,.545,0,0,,2,6,8,12,0,2,0,1,24,25.2,2
8,233,8,2021-01-04,BOS,@,TOR,W 126-114,*,31:41,11,19,.579,5,8,.625,6,11,.545,.711,13,13,1.000,0,6,6,2,0,2,1,5,40,32.7,24
9,234,9,2021-01-06,BOS,@,MIA,W 107-105,*,37:32,10,21,.476,5,8,.625,5,13,.385,.595,2,2,1.000,0,5,5,4,1,0,2,4,27,18.0,7
10,235,10,2021-01-08,BOS,,WAS,W 116-107,*,35:06,14,27,.519,3,9,.333,11,18,.611,.574,1,1,1.000,1,4,5,2,1,0,4,2,32,18.2,-6
